"Date","SCHP.Open","SCHP.High","SCHP.Low","SCHP.Close","SCHP.Volume","SCHP.Adjusted"
2010-09-20,55.134,55.276,55.091,50.610001,24100,46.383366
2010-09-21,55.407,55.953,55.342,51.25,47300,46.969902
2010-09-22,56.226,56.28,56.062,51.389999,15100,47.098221
2010-09-23,56.149,56.149,55.876,51.330002,14800,47.043236
2010-09-24,55.855,55.942,55.746,51.09,24200,46.823284
2010-09-27,55.789,55.942,55.756,51.240002,16600,46.960758
2010-09-28,56.062,56.378,56.029,51.549999,17100,47.244865
2010-09-29,56.247,56.247,55.986,51.360001,19500,47.070724
2010-09-30,55.986,56.138,55.647,51.27,25400,46.988239
2010-10-01,55.876,56.007,55.833,51.310001,15400,47.034081
2010-10-04,56.051,56.051,55.964,51.349998,39700,47.07074
2010-10-05,56.138,56.346,56.106,51.610001,21600,47.309078
2010-10-06,56.924,57.262,56.858,52.119999,44300,47.776562
2010-10-07,56.924,56.924,56.673,52.029999,24500,47.694073
2010-10-08,56.989,57.055,56.924,52.27,29300,47.914066
2010-10-11,57.131,57.131,56.978,52.259998,11400,47.904892
2010-10-12,57.011,57.055,56.804,52.099998,57200,47.758247
2010-10-13,56.869,57.186,56.869,52.389999,23800,48.024067
2010-10-14,57.295,57.546,57.273,52.580002,28200,48.19825
2010-10-15,57.273,57.273,56.946,52.27,31600,47.914066
2010-10-18,57.087,57.196,57.066,52.34,17800,47.978241
2010-10-19,56.891,57.24,56.891,52.459999,17200,48.08823
2010-10-20,57.153,57.229,57.109,52.43,10900,48.060745
2010-10-21,57.218,57.295,57.164,52.43,12400,48.060745
2010-10-22,57.109,57.229,57.087,52.419998,24700,48.051571
2010-10-25,57.327,57.447,57.327,52.599998,36100,48.216576
2010-10-26,57.251,57.251,57.066,52.32,15800,47.959908
2010-10-27,56.88,56.913,56.727,52.040001,19500,47.703247
2010-10-28,56.858,56.989,56.836,52.18,7500,47.831573
2010-10-29,57.098,57.142,57.033,52.369999,53000,48.005737
2010-11-01,57.206,57.206,56.977,52.360001,32400,48.03418
2010-11-02,57.228,57.337,57.173,52.5,18700,48.162621
2010-11-03,57.446,57.501,57.032,52.5,32000,48.162621
2010-11-04,57.501,57.566,57.173,52.48,27800,48.144264
2010-11-05,57.141,57.184,57.032,52.349998,55200,48.024998
2010-11-08,57.184,57.184,56.988,52.34,26000,48.015835
2010-11-09,57.13,57.13,56.563,51.91,47800,47.621353
2010-11-10,56.607,56.748,56.247,52.029999,47600,47.731449
2010-11-11,56.781,56.846,56.737,52.139999,24700,47.832355
2010-11-12,56.661,56.77,56.28,51.630001,72800,47.364491
2010-11-15,56.073,56.138,55.593,51.029999,40500,46.814056
2010-11-16,55.756,55.833,55.299,51.060001,57400,46.841579
2010-11-17,55.691,55.822,55.647,51.110001,9100,46.887436
2010-11-18,55.756,55.778,55.571,51.169998,15000,46.942497
2010-11-19,55.789,55.953,55.756,51.330002,34000,47.089279
2010-11-22,56.116,56.203,56.018,51.549999,24700,47.291103
2010-11-23,56.389,56.389,56.182,51.57,32400,47.309452
2010-11-24,56.062,56.062,55.789,51.189999,24600,46.96085
2010-11-26,56.007,56.062,55.942,51.419998,8900,47.171837
2010-11-29,56.247,56.247,56.073,51.509998,20100,47.254398
2010-11-30,56.356,56.356,56.029,51.43,28000,47.181015
2010-12-01,55.651,55.727,55.499,51.009998,42900,46.84763
2010-12-02,55.477,55.706,55.444,50.990002,17600,46.829266
2010-12-03,55.64,55.64,55.455,50.959999,25900,46.80172
2010-12-06,55.662,55.771,55.629,51.220001,27800,47.040504
2010-12-07,55.564,55.629,55.161,50.75,69400,46.608852
2010-12-08,54.998,55.02,54.649,50.279999,38300,46.1772
2010-12-09,54.78,54.78,54.53,50.189999,29500,46.094536
2010-12-10,54.53,54.584,54.388,50.02,22200,45.938416
2010-12-13,54.366,54.736,54.334,50.150002,36300,46.057804
2010-12-14,54.464,54.508,54.018,49.790001,35500,45.72718
2010-12-15,54.377,54.486,54.257,49.869999,19400,45.800648
2010-12-16,54.377,54.628,54.29,50.169998,24400,46.076172
2010-12-17,54.682,54.987,54.671,50.419998,12200,46.305786
2010-12-20,54.998,55.052,54.769,50.360001,18500,46.250675
2010-12-21,54.976,54.998,54.78,50.450001,93800,46.333336
2010-12-22,54.943,54.954,54.78,50.439999,28700,46.324131
2010-12-23,54.889,54.889,54.769,50.400002,11900,46.287411
2010-12-27,54.758,54.911,54.66,50.43,23800,46.31496
2010-12-28,54.791,54.791,54.421,50.009998,19300,45.929226
2010-12-29,54.293,54.739,54.239,50.27,33000,46.24847
2010-12-30,54.619,54.619,54.456,50.240002,23000,46.220863
2010-12-31,54.772,54.891,54.641,50.5,29700,46.460079
2011-01-03,54.717,54.902,54.609,50.380001,30900,46.349689
2011-01-04,54.772,54.946,54.739,50.52,31000,46.478481
2011-01-05,54.804,54.891,54.511,50.310001,17500,46.285271
2011-01-06,54.706,54.848,54.609,50.400002,53900,46.368073
2011-01-07,54.956,55.163,54.891,50.599998,26000,46.552078
2011-01-10,55.152,55.196,55.054,50.73,26100,46.671692
2011-01-11,55.185,55.228,55.033,50.779999,15400,46.717682
2011-01-12,55.022,55.196,54.967,50.720001,28600,46.662476
2011-01-13,55.043,55.283,55.033,50.830002,35400,46.763683
2011-01-14,55.359,55.359,55.087,50.709999,28900,46.653282
2011-01-18,54.967,55.13,54.848,50.709999,57400,46.653282
2011-01-19,55.119,55.206,55.087,50.740002,30700,46.680882
2011-01-20,54.935,54.935,54.587,50.259998,30200,46.239277
2011-01-21,54.565,54.717,54.543,50.310001,15300,46.285271
2011-01-24,54.793,54.793,54.652,50.279999,39200,46.257675
2011-01-25,54.75,54.946,54.641,50.459999,37400,46.423264
2011-01-26,54.783,54.804,54.619,50.310001,35300,46.285271
2011-01-27,54.728,54.739,54.576,50.32,31800,46.294468
2011-01-28,54.587,54.924,54.565,50.490002,28700,46.450874
2011-01-31,54.891,54.946,54.793,50.5,37500,46.460079
2011-02-01,54.724,54.843,54.659,50.400002,20200,46.380932
2011-02-02,54.952,54.952,54.593,50.290001,65400,46.279705
2011-02-03,54.507,54.561,54.398,50.07,32900,46.077244
2011-02-04,54.3,54.333,54.083,49.84,36000,45.865597
2011-02-07,54.039,54.159,53.963,49.82,48900,45.847187
2011-02-08,54.126,54.126,53.822,49.549999,37700,45.598724
2011-02-09,53.887,54.061,53.789,49.669998,33200,45.709141
2011-02-10,53.887,53.909,53.702,49.43,42100,45.488281
2011-02-11,53.898,53.952,53.746,49.59,29000,45.635517
2011-02-14,53.855,53.996,53.844,49.619999,49500,45.663128
2011-02-15,53.974,54.05,53.941,49.73,27000,45.764359
2011-02-16,53.996,54.094,53.887,49.669998,49300,45.709141
2011-02-17,54.018,54.593,53.931,49.830002,52300,45.856384
2011-02-18,54.104,54.398,54.104,50.040001,29800,46.049648
2011-02-22,54.789,54.93,54.691,50.52,77700,46.491367
2011-02-23,54.974,55.137,54.919,50.669998,32100,46.629391
2011-02-24,55.224,55.408,55.202,50.830002,40000,46.776638
2011-02-25,55.289,55.387,55.245,50.959999,257600,46.896275
2011-02-28,55.43,55.43,55.289,50.880001,93300,46.822647
2011-03-01,55.11,55.414,55.045,51.040001,23200,47.011482
2011-03-02,55.392,55.533,55.305,50.950001,91500,46.928585
