"Date","STIP.Open","STIP.High","STIP.Low","STIP.Close","STIP.Volume","STIP.Adjusted"
2015-11-11,100.223,100.284,100.213,98.949997,17800,97.644081
2015-11-12,100.223,100.223,100.172,98.879997,10000,97.575005
2015-11-13,100.243,100.273,100.213,98.889999,24300,97.584885
2015-11-16,100.304,100.304,100.192,98.919998,21700,97.614479
2015-11-17,100.182,100.294,100.182,98.900002,67200,97.594749
2015-11-18,100.233,100.284,100.202,98.910004,17200,97.604622
2015-11-19,100.273,100.354,100.263,99.019997,16500,97.713165
2015-11-20,100.354,100.405,100.344,99.059998,32200,97.752632
2015-11-23,100.334,100.415,100.324,99.050003,33500,97.742767
2015-11-24,100.466,100.506,100.425,99.169998,20300,97.861176
2015-11-25,100.436,100.456,100.344,99.099998,36200,97.792107
2015-11-27,100.415,100.486,100.415,99.120003,3900,97.811844
2015-11-30,100.456,100.476,100.385,99.059998,18200,97.752632
2015-12-01,100.395,100.567,100.395,99.209999,38000,97.90065
2015-12-02,100.446,100.446,100.344,99.080002,88100,97.772369
2015-12-03,100.395,100.395,100.284,99.010002,68200,97.7033
2015-12-04,100.415,100.456,100.324,99.010002,23900,97.7033
2015-12-07,100.263,100.314,100.233,98.940002,18600,97.634216
2015-12-08,100.253,100.294,100.213,98.900002,48300,97.594749
2015-12-09,100.223,100.263,100.182,98.879997,38300,97.575005
2015-12-10,100.182,100.202,100.081,98.760002,19600,97.456596
2015-12-11,100.192,100.304,100.142,98.959999,51200,97.653954
2015-12-14,100.061,100.131,100,98.690002,34600,97.387527
2015-12-15,100.101,100.101,100,98.730003,38700,97.426987
2015-12-16,100.061,100.071,99.716,98.589996,47200,97.288826
2015-12-17,99.919,100.05,99.919,98.690002,42200,97.387527
2015-12-18,100.01,100.121,100.01,98.800003,16900,97.496071
2015-12-21,100.101,100.101,99.99,98.68,18800,97.377655
2015-12-22,99.949,100.04,99.949,98.690002,24900,97.387527
2015-12-23,100,100.142,100,98.82,41200,97.5158
2015-12-24,100.132,100.162,100.111,98.830002,8000,97.525673
2015-12-28,100.142,100.162,100.121,98.82,24300,97.5158
2015-12-29,100.132,100.132,100.03,98.760002,38900,97.456596
2015-12-30,99.99,100.091,99.969,98.730003,40300,97.426987
2015-12-31,100.152,100.253,100.121,98.919998,16400,97.614479
2016-01-04,100.365,100.375,100.263,98.989998,39400,97.683556
2016-01-05,100.314,100.344,100.253,98.980003,12900,97.673691
2016-01-06,100.273,100.314,100.213,98.980003,11200,97.673691
2016-01-07,100.334,100.375,100.294,99.029999,17100,97.723022
2016-01-08,100.314,100.456,100.314,99.120003,149100,97.811844
2016-01-11,100.375,100.395,100.273,98.970001,37500,97.663834
2016-01-12,100.354,100.395,100.273,98.949997,27500,97.644081
2016-01-13,100.284,100.405,100.284,99.040001,15400,97.732903
2016-01-14,100.405,100.436,100.334,99.089996,14500,97.782234
2016-01-15,100.506,100.517,100.294,98.989998,23200,97.683556
2016-01-19,100.375,100.405,100.304,99,29200,97.69342
2016-01-20,100.354,100.425,100.253,98.980003,83300,97.673691
2016-01-21,100.365,100.385,100.233,98.919998,15600,97.614479
2016-01-22,100.284,100.344,100.233,98.959999,50300,97.653954
2016-01-25,100.365,100.385,100.304,99.029999,39500,97.723022
2016-01-26,100.415,100.466,100.365,99.099998,17600,97.792107
2016-01-27,100.375,100.567,100.324,99.230003,34700,97.92038
2016-01-28,100.567,100.658,100.547,99.309998,27700,97.999336
2016-01-29,100.679,100.78,100.679,99.410004,15400,98.098022
2016-02-01,100.729,100.729,100.567,99.269997,42400,97.959862
2016-02-02,100.658,100.699,100.618,99.330002,16100,98.019073
2016-02-03,100.76,100.851,100.679,99.360001,69300,98.048676
2016-02-04,100.8,100.81,100.679,99.400002,17300,98.088142
2016-02-05,100.679,100.679,100.527,99.260002,19400,97.950005
2016-02-08,100.618,100.648,100.446,99.139999,23200,97.831581
2016-02-09,100.466,100.466,100.324,99.040001,22700,97.732903
2016-02-10,100.344,100.425,100.304,99.089996,46200,97.782234
2016-02-11,100.436,100.506,100.324,99.120003,61800,97.811844
2016-02-12,100.527,100.547,100.436,99.160004,22100,97.851318
2016-02-16,100.476,100.476,100.365,99.080002,29000,97.772369
2016-02-17,100.324,100.405,100.314,99.080002,31500,97.772369
2016-02-18,100.365,100.476,100.365,99.129997,18400,97.821716
2016-02-19,100.517,100.547,100.446,99.18,24400,97.871056
2016-02-22,100.496,100.628,100.496,99.220001,132900,97.910522
2016-02-23,100.547,100.658,100.486,99.330002,20900,98.019073
2016-02-24,100.679,100.851,100.679,99.470001,21700,98.157234
2016-02-25,100.922,101.013,100.892,99.589996,42400,98.275635
2016-02-26,100.942,100.942,100.821,99.510002,15700,98.196701
2016-02-29,100.841,101.033,100.841,99.660004,24900,98.344727
2016-03-01,101.003,101.003,100.81,99.620003,26200,98.305244
2016-03-02,100.912,100.962,100.81,99.620003,30400,98.305244
2016-03-03,100.983,101.084,100.952,99.730003,92100,98.413795
2016-03-04,101.084,101.094,100.932,99.669998,33200,98.354584
2016-03-07,100.983,100.983,100.892,99.629997,29100,98.315117
2016-03-08,101.074,101.084,101.003,99.75,21900,98.433533
2016-03-09,101.044,101.135,101.044,99.760002,101500,98.443405
2016-03-10,101.125,101.125,100.922,99.610001,51200,98.29538
2016-03-11,100.922,100.993,100.881,99.660004,34800,98.344727
2016-03-14,101.013,101.013,100.912,99.610001,60400,98.29538
2016-03-15,100.973,100.973,100.821,99.529999,80400,98.216438
2016-03-16,100.942,101.368,100.942,100.029999,27000,98.709831
2016-03-17,101.489,101.54,101.449,100.150002,102800,98.828247
2016-03-18,101.672,101.692,101.601,100.290001,22100,98.966408
2016-03-21,101.601,101.672,101.53,100.279999,51800,98.956528
2016-03-22,101.652,101.652,101.5,100.169998,22700,98.847992
