"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2010-02-23,30.656,30.656,30.189,27.17,112400,24.435268
2010-02-24,30.366,30.6,30.3,27.459999,107900,24.696081
2010-02-25,30.122,30.533,30.022,27.450001,162100,24.687086
2010-02-26,30.567,30.578,30.255,27.41,61200,24.651119
2010-03-01,30.733,31.1,30.678,27.950001,207800,25.136759
2010-03-02,31.234,31.467,31.178,28.209999,479000,25.370592
2010-03-03,31.467,31.679,31.334,28.26,206000,25.415556
2010-03-04,31.545,31.601,31.401,28.379999,159600,25.523481
2010-03-05,31.79,32.179,31.734,28.9,183500,25.991142
2010-03-08,32.179,32.312,32.134,29,309100,26.081072
2010-03-09,32.157,32.568,32.134,29.09,328000,26.162016
2010-03-10,32.379,32.757,32.368,29.33,423300,26.377861
2010-03-11,32.501,32.757,32.323,29.459999,257500,26.494774
2010-03-12,32.913,32.913,32.557,29.459999,215000,26.494774
2010-03-15,32.724,32.757,32.39,29.379999,215300,26.422829
2010-03-16,32.746,32.968,32.624,29.629999,95800,26.647669
2010-03-17,33.057,33.369,33.024,29.870001,211400,26.863504
2010-03-18,33.235,33.313,33.035,29.77,158900,26.773573
2010-03-19,32.69,33.202,32.613,29.4,206000,26.440813
2010-03-22,32.246,32.99,32.224,29.690001,235600,26.765352
2010-03-23,33.012,33.334,32.845,30.030001,120100,27.071859
2010-03-24,33.212,33.256,32.967,29.719999,156900,26.792397
2010-03-25,33.311,33.422,32.735,29.530001,323100,26.621115
2010-03-26,32.979,33.078,32.613,29.540001,198800,26.630127
2010-03-29,32.945,33.001,32.779,29.68,123600,26.756338
2010-03-30,33.09,33.156,32.779,29.709999,96600,26.783384
2010-03-31,32.956,33.189,32.779,29.559999,76100,26.648161
2010-04-01,33.112,33.189,32.801,29.809999,129000,26.873528
2010-04-05,33.278,33.7,33.134,30.379999,306200,27.387381
2010-04-06,33.689,33.999,33.533,30.58,313600,27.567684
2010-04-07,33.966,33.977,33.555,30.459999,254300,27.459507
2010-04-08,33.689,33.877,33.4,30.43,142400,27.432459
2010-04-09,33.844,34.01,33.622,30.639999,169700,27.621771
2010-04-12,34.055,34.221,33.999,30.799999,200800,27.766012
2010-04-13,34.143,34.265,33.899,30.860001,173100,27.820099
2010-04-14,34.509,34.942,34.421,31.48,313600,28.379023
2010-04-15,35.02,35.142,34.898,31.610001,397500,28.496222
2010-04-16,35.009,35.042,34.276,31.17,545900,28.099564
2010-04-19,34.432,34.676,33.888,30.99,395100,27.937296
2010-04-20,34.598,34.887,34.454,31.450001,210900,28.351984
2010-04-21,35.02,35.164,34.831,31.67,174500,28.55031
